id,Questions,A,B,C ,D
733,Bạch Tuyết và 7 chú lùn là một truyện cổ tích của quốc gia nào?,Đan Mạch,Thuỵ Điển,Đức,Hà Lan
734,Quốc gia nào được mệnh danh là đất nước Triệu Voi?,Lào ,Thái Lan ,Campuchia,Myanmar
735,Cầu thủ nào xuất sắc nhất thế kỷ 20?,Maradona  Pele,Pele,Maradona,Pele và 1 cầu thủ khác 
736,Hg là ký hiệu hoá học của nguyên tố nào?,Thuỷ ngân ,Bạc ,Thiếc ,Kali 
737,Hoàng đế nào sống lâu nhất ở Trung Quốc?,Càn Long ,Tần Thuỷ Hoàng ,Khang Hy ,Phổ Nghi 
738,Trường hợp nào dưới đây liên quan đến sự đông đặc?,Ngọn nến vừa tắt ,Ngọn nến đang cháy ,Nước đá ngoài nắng ,Đèn dầu đang cháy 
739,Ở Nam Cực có bao nhiêu loài gấu trắng?,0 có loài nào ,1 loài ,2 loài ,3 loài 
740,Môn Yoga có nguồn gốc từ quốc gia nào?,Ấn Độ ,Nepan ,Banglades ,Pakistan 
741,Lạc đà 2 bướu sống ở châu lục nào?,Châu Á ,Châu Âu ,Châu Phi ,Châu Mỹ 
742,Quốc gia nào sau đây không thuộc châu Mỹ?,Đan Mạch,Hoa Kỳ ,Canada ,Mexico 
743,Con tem được phát minh và sử dụng lần đầu ở quốc gia nào?,Anh ,Pháp,Đức ,Nga 
744,Thị xã Nghĩa Lộ thuộc tỉnh nào của nước ta?,Yên Bái ,Sơn La ,Phú Thọ ,Tuyên Quang 
745,Huyện Mai Châu trực thuộc tỉnh nào của nước ta?,Hoà Bình ,Vĩnh Phúc,Ninh Bình ,Phú Thọ 
746,"Tính đến thời điểm năm 2010, cầu Donghai là chiếc cầu dài nhất thế giới. Nó thuộc quốc gia nào?",Trung Quốc ,Hoa Kỳ ,Canada ,Malaysia 
747,"Trong vật lý, bầu đàn Guitar được gọi là gì?",Hộp cộng hưởng ,Hộp âm ,Hộp dao động ,Cộng hưởng 
748,Thác Bản Dốc thuộc tỉnh nào của nước ta?,Cao Bằng ,Lạng Sơn ,Sơn La ,Lai Châu 
749,"Theo cách tính giờ trong âm lịch, giờ Dậu nằm trong khoảng nào?",17 - 19 giờ,13 - 15 giờ,11 - 13 giờ,15 - 17 giờ
750,Trong dụng cụ nào dưới đây có cả một máy phát và máy thu sóng vô tuyến?,Chiếc điện thoại di động,Máy thu thanh ,Máy thu hình ,Bộ điều khiển Tivi
751,Điều nào thể hiện rõ nhất tính chất sóng của ánh sáng?,Sự tán sắc ánh sáng,Khả năng đâm xuyên ,Tác dụng quang điện ,Tác dụng phát quang 
752,Việt Nam có bao nhiêu thành phố trực thuộc trung ương?,5,2,3,4
753,Pleiku là thành phố trực thuộc tỉnh nào?,Gia Lai,Kontum,Đắc Lắc,Lâm Đông
754,Quốc gia nào có dân số theo đạo Hồi nhiều nhất thế giới?,Indonesia,Ấn Độ ,Iraq,Iran
755,Tên gọi khác của tia X-quang?,Tia Rơnghen,Tia tử ngoại ,Tia Hồng ngoại ,Tia Gamma
756,Người được nhân dân đặt biệt hiệu là chúa chổm?,Lê Trang Tông ,Trần Phế Đế,Đồng Khánh ,Lý Huệ Tông
757,Ngôn ngữ nào là ngôn ngữ lập trình đầu tiên?,Fortran ,Pascal ,C,Basic
758,Nước đựng trong cốc bay hơi càng nhanh khi nước trong cốc ?,Càng nóng ,Càng nhiều ,Càng ít ,Càng lạnh 
759,Ở Bắc Cực có bao nhiêu loài chim cánh cụt?,Không có loài nào,1 loài,2 loài ,3 loài 
760,"Trong cờ Carô, hai bên đi tối thiểu bao nhiêu nước cờ thì cuộc chơi phân thắng bại?",7,6,5,8
761,Loại đa giác lồi duy nhất có số cạnh bằng số đường chéo là gì?,Ngũ giác ,Tứ giác ,Tam giác ,Lục giác 
762,Karaoke là phát minh của nước nào?,Nhật Bản ,Trung Quốc ,Mỹ ,Singapore 
763,0 độ C bằng bao nhiêu độ F?,32,24,26,36
764,Thị xã Sông Công thuộc tỉnh nào của nước ta?,Thái Nguyên ,Vĩnh Phúc ,Bắc Giang ,Lạng Sơn 
765,Thành Phố Phủ Lý trực thuộc tỉnh nào của nước ta?,Hà Nam ,Hoà Bình ,Thái Bình ,Bắc Giang 
766,Quốc gia nào có diện tích đứng thứ 5 trên thế giới?,Hoa Kỳ ,Trung Quốc ,Ấn Độ ,Brazil 
767,Đường trống nằm ngang giữa bàn cờ tướng gọi là gì?,Sông ,Ranh giới ,Khoảng cách ,Địa giới 
768,"Khi chuyển động trên quỹ đạo, trục trái đất nghiêng không đổi hướng so với mặt phẳng 1 góc là?",66 độ 33 ,36 độ 36,33 độ 66 ,63 độ 26 
769,Địa hình chính của Campuchia là?,Đồng bằng và cao nguyên ,Núi và đồng bằng ,Đồng bằng ,Núi và cao nguyên 
770,"Trong thang sóng điện từ, vùng có bước sóng lớn nhất là vùng nào?",Vùng sóng vô tuyến điện ,Vùng Rơnghen ,Vùng khả biến ,Vùng Gamma
771,Khi dùng kính lúp để quan sát một vật nhỏ thì ta phải đặt vật cách thấu kính một khoảng bao nhiêu?,Nhỏ hơn f,Nhỏ hơn 2f,Khoảng giữa f và 2f,Bằng f
772,Dân số Việt Nam tính đến thời điểm 2010 là?,Hơn 80 triệu dân,75 triệu dân,70 triệu dân,Khoảng 60 triệu dân
773,Buôn Mê Thuột là thành phố trực thuộc tỉnh nào?,Đắc Lắc,Kontum,Gialai,Lâm Đồng
774,Nhà thơ Lí Bạch được mệnh danh là gì?,Tiên thơ ,Thánh thơ ,Thần thơ ,Không có mệnh danh 
775,Lá cờ Hội chữ thập đỏ quốc tế giống quốc kỳ của quốc gia nào nhất?,Thuỵ Sĩ ,Đan Mạch ,Anh,Nepal
776,Firefox là tên gọi của cái gì trong giới công nghệ thông tin?,Trình duyệt web,Game ,Ngôn ngữ lập trình ,Máy in 
777,Vương quốc Ba Tư ngày xưa là quốc gia nào ngày nay?,Iraq,Iran ,Kuwait ,Qatar
778,Tốc độ bay hơi của chất lỏng phụ thuộc vào yếu tố nào?,Nhiệt độ ,Ngày,Thời điểm,Giờ giấc
779,Ở Nam Cực có bao nhiêu loài voi biển?,Không có loài nào ,1 loài ,2 loài ,3 loài 
780,"Trong cờ Caro, bên nào đi trước tối đa bao nhiêu nước cờ trên cùng hàng thì sẽ thắng cuộc?",4,3,5,6
781,Sông Mêkông chảy vào lãnh thổ Việt nam và ra biển theo bao nhiêu nhánh chính?,9,7,8,10
782,Giải Abel là giải thưởng trao hàng năm cho những nhà?,Toán học ,Thiên văn học ,Lịch sử ,Địa lý
783,Nhà du hành vũ trụ đầu tiên đặt chân lên mặt trăng là ai?,Neil Armstrong,Edwin Aldrin,Phạm Tuân ,Galile 
784,Huyện Mê Linh thuộc tỉnh nào của nước ta?,Hà Nội,Tuyên Quang ,Phú Thọ ,Hà Nam 
785,Huyện Thanh Liêm trực thuộc tỉnh nào của nước ta?,Hà Nam ,Hoà Bình ,Ninh Bình ,Thanh Hoá 
786,Ac là ký hiệu hoá học của nguyên tố nào sau đây?,Aktinium,Americium,Antimon,Argo
787,Rafael Nadal là tay vợt nổi tiếng của nước nào?,Tây Ban Nha ,Anh ,Mỹ ,Bồ Đào Nha 
788,Cùng một lúc Trái Đất tham gia mấy chuyển động?,2,1,3,4
789,Phương pháp chủ yếu được sử dụng để tạo ưu thế lai là?,Lai khác dòng ,Lai khác loài ,Lai khác thứ ,Lai cải tiến 
790,Lực tác dụng làm quay động cơ điện là gì?,Lực từ ,Lực đàn hồi ,Lực điện từ ,Trọng lực 
791,Sợi quang học là ứng dụng của hiện tượng gì?,Phản xạ toàn phần ,Tán sắc,Khúc xạ ,Phản xạ 
792,Cầu Mỹ Thuận là cây cầu dây văng hiện đại thứ nhì ?,Đông Nam Á,Việt Nam,Châu Á,Đông Á
793,Kim loại nào tác dụng với nước tạo ra Hidro?,Na,Cu,Sn,Ag 
794,Đỗ Phủ được mệnh danh là gì?,Thánh thơ ,Thần thơ ,Tiên thơ ,Phật thơ
795,Loài hoa nào là biểu tượng của Singapore?,Hoa phong lan ,Hoa huệ ,Hoa hướng dương ,Hoa hồng 
796,Opera là tên gọi của cái gì trong giới công nghệ thông tin?,Trình duyệt web ,Game,Ngôn ngữ lập trình ,Máy in 
797,Tỉnh nào sau đây không giáp biển?,Gia Lai ,Khánh Hoà ,Quảng Trị ,Cà Mau 
798,Trường hợp nào sau đây liên quan đến sự ngưng tụ?,Sương đọng trên lá ,Nước trong cốc cạn dần ,Phơi quần áo cho khô ,Sự tạo thành hơi nước 
799,"Năm 1947, quân dân ta đã bắn cháy tàu chiến Pháp trên sông nào?",Sông Lô ,Sông Đà ,Sông Hồng ,Sông Thu Bồn 
