id,Questions,A,B,C ,D
679,"Trong các con v?t sau dây, con nào bi?t xây t??",Ong ,Bu?m ,Châu ch?u ,B? hung 
680,"Trong các loài chim sau dây, loài chim nào có khuôn m?t gi?ng loài mèo?",Chim cú mèo ,Chim se s? ,Chim gõ ki?n ,Chim chích choè 
681,"Ði?n vào ch? tr?ng: Dù gái hay trai, ch? ... là d??",Hai ,M?t ,Ba ,B?n 
682,"Nói d?n bay, xi mang, g?ch, ..., ngu?i ta liên tu?ng d?n ngh? nghi?p gì?",Ngh? xây d?ng ,Ngh? th? m?c ,Ngh? may ,Ngh? nông 
683,Ði?n vào câu sau: Câm nhu ...?,H?n ,?c,?ch ,Cóc 
684,Ði?n vào câu t?c ng? sau: Ði m?t ngày dàng h?c ... sàng khôn?,M?t ,Hai ,B?y ,Mu?i 
685,"Ði?n vào câu t?c ng? sau: Nh?t nu?c, nhì phân, ... c?n, t? gi?ng?",Tam ,Ba,Ngu ,L?c 
686,"Ði?n vào ch? tr?ng: An cây táo, rào cây ...?",Sung ,Mo ,Me ,Bông 
687,Ði?n vào ch? tr?ng: An ... nu?t s?ng?,Tuoi,Thiu ,B?n ,G?i 
688,Ði?n vào ch? tr?ng: Cháy nhà m?i ra m?t ...?,Chu?t ,Mèo ,Chó ,L?n 
689,Ði?n vào ch? tr?ng: Gi?y ... ph?i gi?a l?y l??,Rách ,Nát ,B?n ,U?t 
690,Ði?n vào ch? tr?ng: Lên voi xu?ng ...?,Chó ,Trâu ,Ng?a,Bò 
691,"Ði?n vào ch? tr?ng: Sông có khúc, ngu?i có ...?",Lúc ,Th?i ,Tu?i ,L?a 
692,Hãy ch?n th? t? dúng c?a m?t câu thành ng??,Xôi h?ng b?ng không ,H?ng xôi b?ng không ,Xôi b?ng h?ng không ,Xôi không b?ng h?ng
693,Bác H? kính yêu c?a dân t?c Vi?t Nam tên th?t là gì?,Nguy?n Sinh Cung,Nguy?n Ái Qu?c,Nguy?n T?t Thành,H? Chí Minh 
694,U?ng lo?i nu?c nào sau dây r?t có h?i cho s?c kh?e?,Ru?u,7Up,Sting,Dr.Thanh
695,Ai t?ng là ch? t?ch nu?c C?ng hoà xã h?i ch? nghia Vi?t Nam?,Tôn Ð?c Th?ng,Võ Nguyên Giáp,Phan Van Kh?i,Lê Kh? Phiêu
696,Cái gì l?n nh?t du?i dây?,L?c d?a ,Châu l?c ,Ð?o ,V?nh 
697,3 di?u t?t lành c?a ngu?i Trung Qu?c theo th? t? nào sau dây là dúng?,"Phúc, L?c, Th? ","Phúc, Th?, L?c ","Th?, Phúc, L?c","L?c, Phúc, Th? "
698,"Trong các con v?t sau dây, con nào bi?t giang to?",Nh?n nh?n ,Bu?m ,Ong ,Châu ch?u 
699,"Trong các con v?t sau dây, con nào du?c ngu?i nông dân l?i d?ng s?c kéo?",Bò ,H? ,L?n ,Chó
700,"Trong các lo?i qu? sau dây, qu? nào khác v?i các qu? còn l?i?",Mu?p ,Cam ,Bu?i ,Chanh 
701,Ca dao có câu: B?u oi thuong l?y bí cùng.Tuy r?ng khác gi?ng nhung chung m?t ...?,Giàn ,N?i ,Chu?ng ,Bàn 
702,Ði?n vào câu t?c ng? sau: Cây ngay không s? ...?,Ch?t d?ng ,Gió ,N?ng ,Ch?t ng?i
703,Ði?n vào câu t?c ng? sau: Không an ... b? cho ngu?i?,G?p ,Nh?c,B?c ,Múc
704,"Ði?n vào câu t?c ng? sau: Trang qu?ng th? h?n, trang tán thì ...?",Mua ,R?m ,Khô ,L?t 
705,Ði?n vào ch? tr?ng: An ... ni?m ph?t?,Chay ,Rau ,Ð?u ,Xôi 
706,Ði?n vào ch? tr?ng: An sung ... su?ng?,M?c  ,U?ng ,Ng? ,Choi 
707,Ði?n vào ch? tr?ng: Cá ch?u chim ...?,L?ng ,Chu?ng ,T? ,? 
708,Ði?n vào ch? tr?ng: G?y ông d?p lung ...?,Ông ,Bà ,Cháu ,Con 
709,Ði?n vào ch? tr?ng: Lên b? xu?ng ...?,Ru?ng ,Ao ,Sông ,Su?i 
710,Ði?n vào ch? tr?ng: Son hào h?i ...?,V? ,C?ng ,Ðang ,Duong 
711,"Trong các th? t? sau dây, th? t? nào dúng v?i m?t câu thành ng??",Xu?t d?u l? di?n ,Ð?u l? di?n xu?t,Xu?t di?n l? d?u ,Di?n l? d?u xu?t 
712,Qu?c k? có hình lá phong là qu?c k? c?a qu?c gia nào?,Canada,Vi?t Nam,Brazil,Mexico
713,Y?u t? nào sau dây không c?n cho cu?c s?ng con ngu?i?,Mê tín d? doan,Làm vi?c,Âm nh?c,H?c t?p
714,"Vi?t Nam giáp v?i Campuchia, Trung Qu?c và qu?c gia nào?",Lào ,Thái Lan ,Malaysia ,Philippines 
715,"Trong các con v?t sau dây, con nào có th? c?n ch?t ngu?i?",R?n ,Th? ,Dê ,Luon 
716,"Trong các con v?t sau dây, con nào khôn ngoan và thông minh nh?t?",Kh? ,Mèo ,Su t? ,Cá voi 
717,"Trong các lo?i qu? sau dây, qu? nào khác v?i các qu? còn l?i?",Cà r?t ,B?u ,Bí ,Bu?i 
718,"Ngu?i d?i thu?ng d?y: L?i nói ch?ng m?t ti?n mua, l?a l?i mà nói cho v?a lòng .... Hãy di?n t? còn thi?u?",Nhau ,Ta ,B?n ,Tin 
719,"Ði?n vào câu t?c ng? sau: Cây ... không trái, gái d?c không con?",Khô ,U?t ,Hoa ,C?i 
720,"Ði?n vào câu t?c ng? sau: Ð?ng ti?n di tru?c là d?ng ti?n ... , d?ng ti?n di sau là d?ng ti?n ...?","Khôn, d?i ","D?i, khôn ","Thông minh, d?i","D?i, thông minh"
721,Ði?n vào câu t?c ng? sau: Th?y ngu?i ... b?t quàng làm h??,Sang ,Giàu ,Quý ,Vinh 
722,Ði?n vào ch? tr?ng: An ... m?c b?n?,Ch?c ,Nhi?u ,Ch?t ,Ít
723,Ði?n vào ch? tr?ng: B?t ... b? dia?,Cóc ,V?t ,Cá ,Tôm 
724,Ði?n vào ch? tr?ng: Cành ... lá ng?c?,Vàng ,Kim cuong ,B?c ,Ð?ng 
725,Ði?n vào ch? tr?ng: Giao ... cho ác?,Tr?ng ,M?i ,Con ,T? 
726,Ði?n vào ch? tr?ng: L?c b?t tòng ...?,Tâm ,Lòng ,Thân ,Nhân 
727,"Ði?n vào ch? tr?ng: Thu?c d?ng giã t?t, s? th?t ... lòng?",M?t ,Ðu?c ,T?t,Ðau 
728,Th? t? nào sau dây dúng v?i m?t câu thành ng??,Tre già mang m?c ,Tre m?c mang già,Mang m?c tre già,Mang già tre h?c 
729,"Trong m?t tr?n bóng dá, m?i d?i có bao nhiêu c?u th? chính th?c trên sân?",11,10,22,20
730,B? ph?n nào sau dây là quan tr?ng d?i v?i s? s?ng c?a con ngu?i?,Trái tim,Tóc ,Rang ,Móng 
731,Ði?n vào câu t?c ng? sau: Ð?u Voi duôi ...?,Chu?t,L?n ,Ki?n ,Kh? 
732,"Vi?t Nam giáp v?i Trung Qu?c, Lào và qu?c gia nào?",Campuchia ,Myanmar ,Thái Lan ,Singapore 
733,"Trong các con v?t sau dây, con nào có th? chi?n th?ng các con v?t còn l?i?",H? ,Huou ,Nai ,Ng?a v?n 
734,"Trong các con v?t sau dây, con nào nu?t ch?ng con m?i mà không c?n nhai?",R?n ,H? ,Báo ,Chó sói 
735,"Trong các lo?i qu? sau dây, qu? nào khác v?i các qu? còn l?i?",Dua h?u ,Cam ,Quýt ,Bu?i
736,"Có câu: An trông n?i, ng?i trông ....?",Hu?ng ,Ch?o ,B?p ,B?n 
737,Ði?n vào câu t?c ng? sau: Cây mu?n l?ng mà ... ch?ng ng?ng?,Gió ,Nu?c ,N?ng ,Mua 
738,"Ði?n vào câu t?c ng? sau: Ho? vô don ..., phúc b?t trùng lai?",Chí ,Hu?ng ,Phuong,S? 
739,Ði?n vào ch? tr?ng: Ác gi? ác ...?,Báo ,Ôn ,Nhân ,Ðáp 
740,Ði?n vào ch? tr?ng: Ng?m ... nu?t cay?,Ð?ng ,Ng?t ,Chát ,Nh?t 
741,Ði?n vào ch? tr?ng: Bu?c th?p ... cao?,Bu?c ,Nh?y ,Ði ,Ng?i 
742,Ði?n vào ch? tr?ng: Ch?y dôn ch?y ...?,Ðáo ,Táo ,Cáo ,Sáo 
743,Ði?n vào ch? tr?ng: G?n ... xa tr?i?,Ð?t ,Cát ,S?i ,Trang 
744,"Ði?n vào ch? tr?ng: Mu?n sang ph?i b?t c?u Ki?u, mu?n con hay ... ph?i yêu l?y th?y?",Ch? ,Hát ,Nói ,Van 
745,Ði?n vào ch? tr?ng: S?c cùng l?c ...?,Ki?t ,H?t ,C?n ,Tàn 
746,Câu nào sau dây ch? ngu?i ? tr?ng thái mê man không bi?t gì?,B?t t?nh nhân s? ,B?t kh? xâm ph?m ,B?t d?c k? t?,B?t di b?t d?ch 
747,H? Chí Minh sinh vào ngày tháng nam nào?,19/05/1890,19/05/1880,09/05/1890,05/09/1890
748,Ngu?i d?ng d?u m?t l?p h?c g?i là gì?,L?p tru?ng,T? tru?ng ,Ch? nhi?m,L?p phó
749,Vì mây cho núi lên tr?i. Vì con gió th?i hoa ... v?i trang. Hãy di?n vào ch? tr?ng trong câu ca dao trên?,Cu?i ,Vui ,Ðùa ,N? 
750,M?t gi? có bao nhiêu giây?,3600,60,600,360
751,Ð?t nu?c phía Ðông c?a Vi?t Nam là qu?c gia nào?,Philippines ,Lào ,Campuchia ,Trung Qu?c 
752,"Trong các con v?t sau dây, con nào thu?ng du?c nuôi ? nhà?",Mèo ,Ng?a ,Nai ,Dê
753,"Trong các con v?t sau dây, con nào s?ng trên c?n?",Chó san,Cá s?u ,H?i c?u ,Rùa bi?n 
754,"Trong các lo?i sau dây, qu? nào cay nh?t?",?t,Chanh ,Táo ,M?n 
755,Ði?n vào ch? tr?ng: An qu? nh? k? tr?ng cây. An ... nh? k? cho dây mà tr?ng?,Khoai ,Com ,Chay ,H?ng 
756,"Ði?n vào câu t?c ng? sau: Ch?ng ai giàu ba h?, ch?ng ai khó ...?",Ba d?i ,Su?t d?i ,Su?t ngày ,B?n d?i  
757,Ði?n vào câu t?c ng? sau: Khôn ... nam d?i m?t gi??,Ba ,Hai ,B?n ,Nam 
758,Ði?n vào ch? tr?ng: An cu ... nghi?p?,L?c ,D?ng,Gây ,Tác 
759,Ði?n vào ch? tr?ng: An c?p nhu ...?,Ruoi,Tôm ,Cá ,Cua 
760,Ði?n vào ch? tr?ng: ... phân th?ng b?i?,B?t,Không ,Khó ,D? 
761,Ði?n vào ch? tr?ng: Chim kêu vu?n ...?,Hú ,Hét ,Khóc ,Thét 
762,Ði?n vào ch? tr?ng: Gi? nhân gi? ...?,Nghia ,Ð?c ,T?t ,Qu? 
763,Ði?n vào ch? tr?ng: Ng?i ch? ... r?ng?,Sung ,Quýt ,Ðào ,?i 
764,Ði?n vào ch? tr?ng: S?ng ch?t m?c ...?,Bay ,Mày ,Tao ,Nó 
765,9 tháng 10 ngày ch? di?u gì?,Th?i gian mang thai ,Nh?ng ngày trang m?t ,H?t h?c k? m?t,Th?i gian th? vi?c
766,Qu?c gia nào có dân s? dông nh?t th? gi?i?,Trung Qu?c,?n Ð?,M?,Nga
767,"Trong th? lo?i nào sau dây, ta thu?ng g?p nhi?u câu rút g?n?",Truy?n ng?n ,Van xuôi ,Truy?n c? dân gian ,Van v?n 
768,M?t phút có bao nhiêu giây?,60,600,360,3600
769,Ð?t nu?c phía Nam c?a Vi?t Nam là d?t nu?c nào?,Singapore,Lào ,Trung Qu?c ,Thái Lan 
770,"Trong các con v?t sau dây, con nào du?c xem là c?u ông tr?i?",Cóc ,Nhái ,?ch ,?nh uong 
771,"Trong các con v?t sau dây, con nào có s?ng?",Huou ,Chó sói ,G?u ,Ng?a v?n
772,"Trong các lo?i qu? sau dây, qu? nào ng?t nh?t?",Táo ,Cà chua,B?u ,Bu?i 
773,Ngu?i ta thu?ng nói: V?ch lá tìm ...?,Sâu ,Rau ,Cây ,Lá 
774,Ði?n vào câu t?c ng? sau: Ch? em dâu nhu b?u ...?,Nu?c lã ,S?a m? ,Nu?c mát ,Nu?c gi?ng
775,Ði?n vào câu t?c ng? sau: Không th?y ... mày làm nên?,Ð? ,Thách,Sao ,Ch?c
776,Ði?n vào ch? tr?ng: An ... th? thu?ng?,Ph?n ,S? ,Cu ,Bài 
777,Ði?n vào ch? tr?ng: An c?n ... ki?m?,? ,U?ng ,S?ng ,Choi 
778,Ði?n vào ch? tr?ng: B?ng làm ... ch?u?,D? ,Ngu?i ,Ð?u ,C? 
779,Ði?n vào ch? tr?ng: Cây mu?n l?ng mà ... ch?ng ng?ng?,Gió ,N?ng ,Mua ,Lu 
780,Ði?n vào ch? tr?ng: Giang son ... vóc?,G?m ,V?i ,L?a ,T?m 
781,"Ði?n vào ch? tr?ng: Nói m?t d?ng, ... m?t n?o?",Làm ,Choi ,An ,U?ng 
782,Ði?n vào ch? tr?ng: U?ng công phí ...?,S?c ,C?a ,Ti?n ,L?c 
783,Th? t? nào dúng nh?t trong các th? t? sau?,An vóc h?c hay ,An hay h?c vóc,H?c hay an vóc,H?c vóc an hay 
784,Th? gi?i có bao nhiêu châu l?c có ngu?i sinh s?ng?,5,3,4,6
785,"Tính d?n nam 2011, qu?c gia nào có dân s? d?ng th? hai trên th? gi?i?",?n Ð?,Trung Qu?c,Nga,Brazil
786,T?nh nào sau dây ? mi?n B?c nu?c ta?,H?i Duong ,Bình Duong ,Bình Ð?nh ,Bình Thu?n 
787,M?t th?p k? có bao nhiêu nam ?,10,1,100,1000
788,Ð?t nu?c n?m phía nam c?a Vi?t Nam là d?t nu?c nào?,Malaysia ,Thái Lan ,Myanmar ,Camphuchia 
789,"Trong các con v?t sau dây, con nào to nh?t?",Cá voi xanh ,H? ,Voi ,Cá m?p 
790,"Trong các con v?t sau dây, con nào có kh? nang leo trèo?",Kh? ,H? ,Nai ,Chó sói
791,"Nh?c d?n Mai An Tiêm, ngu?i ta nghi d?n qu? gì?",Qu? dua h?u ,Qu? chu?i ,Qu? táo ,Qu? táo 
792,Ði?n vào câu t?c ng? sau: An qu? nh? k? ... cây?,Tr?ng ,Tu?i ,Cham ,Ðào 
793,"Ði?n vào câu t?c ng? sau: Ch? ngã, em ...?",Nâng ,Khen ,Chê ,Vui 
794,"Ði?n vào ch? tr?ng sau: M?t cây làm ch?ng nên ..., ba cây ch?m l?i nên hòn núi cao?",Non ,Núi ,Ð?i ,Ðâu
795,Ði?n vào ch? tr?ng: Án ... b?t d?ng?,Binh ,Quân ,Ng? ,M?ng 
796,Ði?n vào ch? tr?ng: An qu? nh? ... tr?ng cây?,K? ,Ai ,Lão ,Bà 
797,Ði?n vào ch? tr?ng: ... chi?n bách th?ng?,Bách ,Không ,Tram,Cham 
798,Ði?n vào ch? tr?ng: Con nhà tông không gi?ng lông cung gi?ng ...?,Cánh ,Lá ,Mông ,Má 
799,Ði?n vào ch? tr?ng: Gieo nhân nào g?t ... n?y?,Qu? ,Trái ,H?t ,V? 
800,Ði?n vào ch? tr?ng: Nu?c ... th? câu?,Ð?c ,Trong ,B?n ,S?ch 
801,Ði?n vào ch? tr?ng: ... s? kh?i d?u nan?,V?n ,Tram ,M?i ,Tri?u
802,"Trong các th? t? sau dây, th? t? nào dúng v?i m?t câu thành ng??",Rau nào sâu n?y,Rau n?y sâu nào,N?y sâu nào rau ,Sâu nào rau n?y 
803,Loài hoa nào là bi?u tu?ng c?a tình yêu?,Hoa h?ng,Hoa hu?ng duong,Hoa tulip,Hoa Phang
804,Dân s? c?a d?t nu?c Trung Qu?c d?ng th? m?y th? gi?i?,1,2,3,4
805,Qu?c k? Vi?t nam có hình gì?,Ngôi sao ,Hoa sen,Chi?c nón ,Hoa mai 
806,Mi?n B?c Vi?t Nam có bao nhiêu mùa trong nam?,4,3,5,6
807,Ð?t nu?c n?m phía Tây Nam nu?c ta là d?t nu?c nào?,Brunei ,Trung Qu?c ,Lào ,Thái Lan 
808,"Yêu t? qu?c, yêu d?ng bào là di?u d?y th? m?y trong 5 di?u Bác H? d?y?",Ði?u 1 ,Ði?u 2,Ði?u 3 ,Ði?u 4 
809,"Ði?n vào ch? tr?ng: M?t cây làm ch?ng nên non, ... cây ch?m l?i nên hòn núi cao? ",Ba ,Hai ,B?n ,Nam 
810,Ði?n vào ch? tr?ng: M?t n? cu?i b?ng ... thang thu?c b??,Mu?i,B?y ,Tám ,Chín 
811,"Ði?n vào câu t?c ng? sau: Dâu là ..., r? là khách?",Con ,Khách ,Bà ,Ch? 
812,"Ði?n vào câu t?c ng? sau: Có chí làm quan, có gan ...?",Làm giàu ,Làm càn ,Làm phách ,Làm l?n 
813,"Ði?n vào câu t?c ng? sau: M?t con ng?a ..., c? tàu b? c??",Ðau ,?m,B? thuong ,B?nh 
814,Ði?n vào ch? tr?ng: Anh em c?t ...?,Chèo ,Ch?ng ,Kéo ,Kèo 
815,Ði?n vào ch? tr?ng: An chay n?m ...?,M?ng ,Mo ,Ng?a,S?p 
816,Ði?n vào ch? tr?ng: Ba chìm ... n?i?,B?y,B?n ,Tám ,Nam 
817,Ði?n vào ch? tr?ng trong câu nói: Chua th?y quan tài chua d? ...?,L? ,M? hôi ,Nu?c ,Nu?c m?t 
818,Ði?n vào ch? tr?ng: Gieo gió g?t ...?,Bão ,Lu ,Mua ,Cát 
819,Ði?n vào ch? tr?ng: Nh?t c? ... ti?n?,Lu?ng ,Nh? ,B?t ,Luong 
820,"Ði?n vào ch? tr?ng: Vi?c nhà thì nhác, vi?c ... thì siêng?",Chú bác ,Ngu?i khác ,Dì bác ,Hàng xóm 
821,Hoàn thành vào d?u  d? câu sau có nghia: Anh em khinh tru?c làng nu?c khinh ...?,Sau ,Tru?c,Theo ,Khi
822,Ngôn ng? chính th?c c?a ngu?i Vi?t Nam?,Ti?ng Vi?t,Ti?ng Anh,Ti?ng Hoa,Ti?ng Pháp
823,"Tính d?n nam 2011, dân s? c?a nu?c ?n Ð? d?ng th? m?y th? gi?i?",2,1,3,4
824,"Theo l?ch âm Vi?t Nam, có bao nhiêu con giáp?",12,11,13,14
825,"Vào lúc 8 gi? dúng, kim gi? và kim phút t?o thành góc bao nhiêu d??",120 d? ,30 d? ,90 d? ,180 d? 
826,Ð?o Phú Qu?c ? v?nh Thái Lan thu?c ch? quy?n c?a qu?c gia nào?,Vi?t Nam ,Thái Lan ,Campuchia ,Malaysia 
827,"H?c t?p t?t, lao d?ng t?t là di?u d?y th? m?y trong 5 di?u Bác H? d?y?",Ði?u 2,Ði?u 1 ,Ði?u 4 ,Ði?u 5 
828,"Ði?n vào ch? tr?ng: M?t con ng?a dau, c? ... không an c??",Tàu ,Ðàn ,B?y ,Dòng 
829,"Ði?n vào ch? tr?ng: G?o dem vào giã bao dau d?n, g?o giã xong r?i tr?ng t?a ...?",Bông,Thay ,H?t ,Mây 
830,Ði?n vào câu thành ng? sau: Ðàn g?y ... trâu?,Tai ,Chân ,M?t,Mui 
831,Ði?n vào ch? tr?ng trong câu: Làm trai cho dáng nên ...,Trai,L?,C?c,Bình
832,Ði?n vào câu ca dao sau: Nhi?u di?u ph? l?y giá guong. Ngu?i trong m?t nu?c ph?i ... nhau cùng?,Thuong ,Yêu ,M?n,Giúp 
833,Ði?n vào ch? tr?ng: Anh hùng không có d?t d?ng ...?,Võ ,Van ,Tài ,Công 
834,Ði?n vào ch? tr?ng: An ch?c ... ch??,N?m ,Ð?ng ,Ng?i ,Qu?
835,Ði?n vào ch? tr?ng: Bình an vô ...?,S? ,Ích ,Tâm ,Nghia 
836,Ði?n vào ch? tr?ng: C?n cù ... thông minh?,Bù ,Hon ,B?ng ,Kém 
837,Ði?n vào ch? tr?ng: H?c th?y không ... h?c b?n?,Tày ,B?ng ,Hon ,Th? 
838,Ði?n vào ch? tr?ng: Nu?c ch?y ...  mòn?,Ðá ,Núi ,Ð?i ,S?i 
839,Ði?n vào ch? tr?ng: V?t ... b? v??,Chanh ,Táo ,D?a ,Qu?t 
840,Ði?n vào ch? tr?ng trong câu ca dao: Thuy?n v? có nh? b?n chang. B?n thì m?t d? khang khang ... thuy?n?,Ð?i ,Ch? ,Mong ,Trông 
841,Loài d?ng v?t nào có nét gi?ng loài mèo?,H?,Hà mã,L?n ,Nhím 
842,"Tính d?n nam 2011, Indonesia là qu?c gia có dân s? d?ng th? m?y th? gi?i?",4,1,2,3
843,Ngu?i ta thu?ng nói: ... càng già càng cay?,G?ng ,?t ,T?i ,Hành 
844,K?t qu? c?a phép tính 1 - 3 ?,-2,2,-3,3
845,"Trong các con v?t sau dây, con nào ch?y nhanh nh?t?",Th? ,Rùa ,Gà,Mèo
846,"Ðoàn k?t t?t, k? lu?t t?t là di?u d?y th? m?y trong 5 di?u Bác H? d?y?",Ði?u 3 ,Ði?u 2 ,Ði?u 4 ,Ði?u 5 
847,"Ði?n vào ch? tr?ng: Ðèn khoe dèn t? hon ..., dèn ra tru?c gió còn chang h?i dèn?",Trang ,Sao ,Mây ,Pin 
848,Ngu?i ta thu?ng nói: Không th?y d? mày ...?,Làm nên ,Làm ra ,Làm an ,Làm hon 
849,"Ði?n vào câu t?c ng? sau: Giàu vì b?n, sang vì ...?",V? ,Ba ,M? ,Con 
850,"Có câu: Nh?t gái l?n hai, nh?t trai l?n ...?",M?t ,Hai ,Ba ,B?n 
851,"Ði?n vào câu t?c ng? sau: M?t di?u nh?n, chín di?u ...?",Lành ,Sai ,T?t,Nhu?ng 
852,Ði?n vào ch? tr?ng: Th?i th?…anh hùng ?,T?o ,Làm nên ,Xây ,Gây d?ng 
853,Ði?n vào ch? tr?ng: An chua ... lo chua t?i?,No ,Ðói ,Ð? ,Ð?y 
854,"Ði?n vào ch? tr?ng: Bán ... cho d?t, bán lung cho tr?i?",M?t ,Ð?u ,Ngu?i ,Chân 
855,Ði?n vào ch? tr?ng: Cây ngay không s? ch?t ...?,Ð?ng ,Ng?i ,N?m ,B?nh
856,Ði?n vào ch? tr?ng: H? ph? sinh h? ...?,T? ,Con ,Chính ,Nh? 
857,Ði?n vào ch? tr?ng: Nu?c d? d?u ...?,V?t ,Gà ,Bò ,Kh? 
858,Ði?n vào ch? tr?ng trong câu nói: Xu?t d?u l? ...?,Di?n ,M?t ,Chân ,Tay 
859,Ði?n vào ch? tr?ng trong câu ca dao: Còn cha còn m? thì hon. Không cha không m? nhu ... d?t dây?,Ðàn ,Thuy?n ,Bu?m,Võng 
860,Vi?t Nam là qu?c gia thu?c châu l?c nào?,Châu Á,Châu Phi,Châu Âu,Châu M?
861,"Tính d?n nam 2011, qu?c gia nào có dân s? d?ng th? 13 trên th? gi?i?",Vi?t Nam,Trung Qu?c,Thái Lan,Sudan
862,Hình ch? nh?t có 2 c?nh li?n k? b?ng nhau là hình,Hình vuông,Hình Elip,Hình l?c lang,Hình tam giác
863,S? nào sau dây không ph?i là s? t? nhiên,0.1,1,100,0
864,"Trong các con v?t sau dây, con nào ch?y ch?m nh?t?",Rùa ,Th? ,Dê ,Chó 
865,Gi? gìn v? sinh th?t t?t là di?u d?y th? m?y trong 5 di?u Bác H? d?y?,Ði?u 4 ,Ði?u 1 ,Ði?u 2 ,Ði?u 3 
866,"Ði?n vào ch? tr?ng: Trang khoe trang t? hon ... , c? sao trang ph?i ch?u lu?n dám mây?",Ðèn ,Mây ,Sao ,M? 
867,Ðoàn quân Vi?t Nam di chung lòng c?u qu?c là câu hát trong bài hát nào?,Qu?c ca,Qu?c t? ca,Lá xanh ,Ð?ng chí 
868,"Ði?n vào câu t?c ng? sau: Khôn an ..., d?i an nu?c?",Cái ,Canh ,Rau,C? 
869,Vi?t nam thu?ng du?c g?i là qu?c gia hình ch?,S,V,T,X
870,Sân v?n d?ng qu?c gia M? Ðình n?m ? thành ph? nào,Hà N?i ,H? Chí Minh,Ðà N?ng,H?i Phòng
871,"Ði?n vào câu t?c ng? sau: Nhà khó c?y ... hi?n, nu?c lo?n nh? tu?ng gi?i?",V? ,M? ,Cha ,Ch? 
872,Ði?n vào ch? tr?ng: Ao sâu nu?c ...?,C? ,Ð?c ,Trong ,Lu 
873,"Ði?n vào ch? tr?ng: An chung máng, ? chung ...?",Chu?ng ,Nhà ,Phòng ,Ch?ng 
874,Ði?n vào câu nói: Có ... hon không?,Còn ,V?n ,S? ,Luôn
875,Ði?n vào ch? tr?ng: Chia s? ng?t ...?,Bùi ,Ð?ng ,Cay ,Chua 
876,Ði?n vào ch? tr?ng: H?c m?t bi?t ...?,Mu?i ,Chín ,B?y ,Tám 
877,Ði?n vào ch? tr?ng: Nu?c d? lá ...?,Khoai ,Ngô ,S?n ,Lúa 
878,Hoàn thành câu thành ng? Ð?o cày gi?a….?,Ðu?ng ,Tru?ng,Nhà,Sông
879,Thành ng? có câu: ch?t vinh còn ... s?ng nh?c. T? trong d?u ... là gì?,Hon ,Thua ,Hay,B?ng 
880,Tr? em dang h?c m?u giáo du?c g?i là gì?,Thi?u nhi,Thanh niên,Thi?u niên,Trung niên
881,Con gì s? hoá thành mu?i khi tru?ng thành?,Lang quang ,Nòng n?c ,Giòi ,Nh?ng
882,"Theo truy?n thuy?t Trung Hoa, cá chép vu?t qua vu môn s? hóa gì?",R?ng,R?n ,Gà,Cóc
883,R?n h? mang là d?ng v?t thu?c loài nào sau dây?,Bò sát,Có vú,Chim,Cá
884,T? Qu?c là t? d? ch?….?,Ð?t nu?c quê huong,M?t trang,Châu M?,Ð?i Tây Duong
885,"Ngu?i ta thu?ng nói: Ông an ch?, bà an ...?",Nem ,Chay ,Khoai ,Cá 
886,"Ði?n vào ch? tr?ng: Con cò mà di an dêm, d?u ph?i cành m?m l?n c? xu?ng ...?",Ao ,Muong ,Sông ,Nu?c 
887,"Ði?n vào câu t?c ng? sau: Khôn an cái, d?i an ...?",Nu?c ,Canh ,Cái ,Rau 
888,Ði?n vào câu sau:  Anh em ... th? tay chân?,Nhu,Là,B?ng ,Có
889,"Ði?n vào ch? tr?ng: Rách lành dùm b?c, d? hay ...?",Ð? d?n ,Giúp d?,Gánh cùng ,Ð? giùm 
890,Ði?n vào ch? tr?ng:  Ao ... nu?c d?ng?,Tù ,Sâu ,Nông ,R?ng 
891,"Ði?n vào ch? tr?ng: An com ..., múa t?i ngày?",Chúa ,Vua ,Quan ,Chùa 
892,Ði?n vào ch? tr?ng: Có ... gi?t mình?,T?t ,Th?t ,Sai ,T?i
893,Ði?n vào ch? tr?ng: Ch?t vinh còn hon s?ng ...?,Nh?c ,Su?ng ,T?t ,Chán 
894,Ði?n vào ch? tr?ng: ... nhan b?c ph?n?,H?ng ,Ð? ,Xanh ,Vàng 
895,Ði?n vào ch? tr?ng: Nuôi ... tay áo?,Ong ,Chim ,Din ,Mu?i 
896,"Ði?n vào ch? tr?ng: Yêu cho roi cho ... , ghét cho ng?t cho bùi?",V?t ,Ð?p ,G?y ,Ð?m 
897, Thành ng? thu?ng nói: Con hon ... nhà có phúc. T? trong d?u ... là t? gì?,Cha ,Ba ,M? ,Má 
898,Vùng d?t nào sau dây du?c g?i là d?a d?u t? qu?c?,Mui Cà Mau,Hà N?i,Vung Tàu,Tp H? Chí Minh
899,Sinh viên du?c g?i là gì?,Thanh niên,Thi?u nhi,Thi?u niên,Trung niên
900,Tên m?t loài sinh v?t thu?ng truy?n b?nh s?t rét?,Mu?i,Cá ba sa,Mèo,L?n
901,"? Vi?t Nam, mùa nào l?nh nh?t trong nam?",Ðông ,Xuân ,H? ,Thu 
902,Ngày Ông Táo lên Tr?i theo quan ni?m dân gian là ngày nào,23 tháng ch?p,23 tháng giêng,23 tháng sáu,23 tháng tu
903,Khi nhân b?t k? s? nào v?i s? 0 cung d?u thu du?c k?t qu? b?ng?,0,1,Chính nó,100
